date,doy,linear_fill,is_real_obs,gap_days_to_obs,sg_w11_p2,sg_w11_p3,sg_w21_p2,sg_w21_p3,sg_w31_p2,sg_w31_p3,sg_w41_p2,sg_w41_p3
2025-09-15,0,0.43233621337643413,True,0.0,0.43233621337643435,0.43233621337643474,0.43482551311012196,0.4348255131101238,0.42599381163938554,0.4364797850534274,0.418236820045555,0.4323067750620415
2025-09-16,1,0.41157715716139126,False,1.0,0.4105601004130561,0.4129332328258382,0.4096943952960706,0.40946914304603244,0.4062511654575072,0.40916575475855105,0.4055439606378805,0.40706938259307224
2025-09-17,2,0.39081810094634833,False,2.0,0.3875126665142585,0.3909105606507422,0.3886615218588209,0.3859584948583889,0.3890711735953529,0.38666994734524895,0.39146672319918113,0.3910228329694149
2025-09-18,3,0.37005904473130546,False,2.0,0.3669462346833702,0.36888788847564685,0.3709859102096801,0.36608236279145245,0.3738252712473657,0.36805038081561076,0.374137275111448,0.37821589843779035
2025-09-19,4,0.34929998851626254,False,1.0,0.3497314671367686,0.3502293270835062,0.3558365103241147,0.34980544293195226,0.36004058808317685,0.352404193193547,0.356349325249782,0.3642311185201248
2025-09-20,5,0.32854093230121967,True,0.0,0.3355109715555455,0.33551097155554543,0.34252424268321296,0.3364170273981073,0.34736316238830467,0.338970557641624,0.3395675829295522,0.348743361791948
2025-09-21,6,0.32202067056287115,False,1.0,0.32357084807809844,0.3235708480780984,0.3305285388991018,0.3251157301971613,0.3321854654142469,0.33009804589663655,0.32465000585249765,0.33242449461880574
2025-09-22,7,0.31550040882452257,False,2.0,0.3143631025547334,0.3143631025547334,0.3194704076717922,0.3152220843062393,0.3148849323075505,0.3210993955244542,0.3118957377957026,0.3165515530938777
2025-09-23,8,0.30898014708617405,False,2.0,0.3071735060200795,0.30717350602007953,0.30907808428215133,0.3062230822709436,0.2997713665972363,0.30875268292452035,0.3012828162189373,0.302109404574684
2025-09-24,9,0.3024598853478255,False,1.0,0.30101774259721753,0.3010177425972176,0.29915772068326674,0.29775511754027334,0.2871519687411915,0.2956369604761085,0.2926300784009549,0.289684771085557
2025-09-25,10,0.29593962360947695,True,0.0,0.2946414094976791,0.2946414094976791,0.28957111970849575,0.28957111970849636,0.27697553318246393,0.28344773434433,0.2856890397437213,0.27952066431429207
2025-09-26,11,0.2867672958998843,False,1.0,0.2865200170214465,0.2865200170214465,0.27834523989817533,0.27834523989817583,0.26928799094750616,0.2731752353306541,0.28019473692016034,0.27161148463185447
2025-09-27,12,0.27759496819029167,False,2.0,0.2778793389004949,0.27787933890049493,0.2660830184883514,0.26608301848835175,0.26367581029287357,0.2653232526291534,0.2758925902264855,0.26579294753304455
2025-09-28,13,0.26842264048069897,False,3.0,0.2688121047142382,0.2688121047142382,0.25683520161610035,0.2568352016161005,0.2597324295343066,0.25992388875256456,0.27255137110931005,0.2618128266374684
2025-09-29,14,0.25925031277110633,False,4.0,0.2594728637617002,0.25947286376170026,0.2501933398349626,0.25019333983496284,0.2570905904913993,0.2567458941284689,0.2699682547720334,0.2593813206393361
2025-09-30,15,0.2500779850615137,False,5.0,0.25007798506151363,0.25007798506151363,0.24567949616793877,0.24567949616793888,0.2554340463937159,0.2554340463937159,0.2679695000173543,0.2582042935638215
